customer_code,customer_name,market,total_sold_quantity,total_forecast_quantity,net_error,net_error_pct,abs_net_error,abs_net_error_pct,forecast_accuracy
70023032,"Atliq e Store",Canada,5934,6576,642,9.7628,3168,48.1752,51.8248
70006157,"Atliq Exclusive",Philiphines,10687,11499,812,7.0615,5916,51.4480,48.5520
90023030,"Amazon ",Canada,5405,5803,398,6.8585,3042,52.4212,47.5788
80006154,Synthetic,Philiphines,42247,43799,1552,3.5435,23042,52.6085,47.3915
90013124,"Amazon ",Italy,3546,3466,-80,-2.3081,1824,52.6255,47.3745
90002009,Flipkart,India,110351,166520,56169,33.7311,87827,52.7426,47.2574
70027208,"Atliq e Store",Brazil,12131,13304,1173,8.8169,7093,53.3148,46.6852
90016172,Power,Poland,1626,1591,-35,-2.1999,849,53.3627,46.6373
90008165,"Forward Stores",Australia,23105,36262,13157,36.2832,19377,53.4361,46.5639
90023029,Staples,Canada,5155,5985,830,13.8680,3200,53.4670,46.5330
90023025,"Premium Stores",Canada,5223,5824,601,10.3194,3151,54.1037,45.8963
70008170,"Atliq e Store",Australia,23934,38044,14110,37.0886,20644,54.2635,45.7365
90002014,Expression,India,80467,130496,50029,38.3376,70893,54.3258,45.6742
90002010,Ebay,India,78945,127279,48334,37.9748,69204,54.3719,45.6281
70008169,"Atliq Exclusive",Australia,22793,37888,15095,39.8411,20717,54.6796,45.3204
90002008,Amazon,India,142235,224021,81786,36.5082,122578,54.7172,45.2828
90008166,Sound,Australia,22793,37627,14834,39.4238,20590,54.7213,45.2787
90006156,"Amazon ",Philiphines,11485,11912,427,3.5846,6531,54.8271,45.1729
80001019,Neptune,China,16435,24856,8421,33.8791,13651,54.9203,45.0797
90002013,Electricalslytical,India,80619,129730,49111,37.8563,71503,55.1168,44.8832
70006158,"Atliq e Store",Philiphines,10735,11139,404,3.6269,6144,55.1576,44.8424
90003180,"Amazon ",Indonesia,24206,23673,-533,-2.2515,13059,55.1641,44.8359
90016176,"Amazon ",Poland,1563,1650,87,5.2727,911,55.2121,44.7879
90002002,Croma,India,79435,129330,49895,38.5796,71469,55.2610,44.7390
90002016,"Amazon ",India,87640,135027,47387,35.0945,74661,55.2934,44.7066
90013120,Coolblue,Italy,3924,3496,-428,-12.2426,1934,55.3204,44.6796
90002004,"Vijay Sales",India,89011,139451,50440,36.1704,77386,55.4933,44.5067
90027207,"Amazon ",Brazil,12294,12357,63,0.5098,6873,55.6203,44.3797
90013122,"Radio Popular",Italy,3343,3187,-156,-4.8949,1774,55.6636,44.3364
90023026,Relief,Canada,5384,5805,421,7.2524,3235,55.7278,44.2722
90002015,Propel,India,81704,131665,49961,37.9455,73413,55.7574,44.2426
90008164,Digimarket,Australia,24656,41974,17318,41.2589,23462,55.8965,44.1035
90001020,Zone,China,4102,6905,2803,40.5938,3861,55.9160,44.0840
90002012,Electricalsocity,India,83279,133849,50570,37.7814,74998,56.0318,43.9682
70016178,"Atliq e Store",Poland,1430,1506,76,5.0465,844,56.0425,43.9575
70023031,"Atliq Exclusive",Canada,5504,6055,551,9.0999,3403,56.2015,43.7985
90023028,walmart,Canada,5837,6250,413,6.6080,3513,56.2080,43.7920
90011188,Elkjøp,France,14772,14371,-401,-2.7903,8095,56.3287,43.6713
90013117,Euronics,Italy,3392,3150,-242,-7.6825,1776,56.3810,43.6190
90008167,Electricalsocity,Australia,24101,35640,11539,32.3765,20173,56.6021,43.3979
90011191,Sorefoz,France,14748,13348,-1400,-10.4885,7582,56.8025,43.1975
70002018,"Atliq e Store",India,79609,127301,47692,37.4640,72334,56.8212,43.1788
90011185,"Epic Stores",France,14142,12450,-1692,-13.5904,7084,56.8996,43.1004
90002006,Viveks,India,76382,129854,53472,41.1786,74258,57.1858,42.8142
90023027,Costco,Canada,5287,5696,409,7.1805,3273,57.4614,42.5386
90002005,Lotus,India,81072,124595,43523,34.9316,71595,57.4622,42.5378
90002003,Ezone,India,82063,144949,62886,43.3849,83346,57.5002,42.4998
90001021,Taobao,China,3857,6367,2510,39.4220,3664,57.5467,42.4533
90002001,"Reliance Digital",India,78216,133034,54818,41.2060,76790,57.7221,42.2779
90013123,Expert,Italy,3600,3480,-120,-3.4483,2010,57.7586,42.2414
90008168,"Amazon ",Australia,23977,40065,16088,40.1547,23200,57.9059,42.0941
70011194,"Atliq e Store",France,14915,13695,-1220,-8.9084,7944,58.0066,41.9934
70002017,"Atliq Exclusive",India,79620,121248,41628,34.3329,70364,58.0331,41.9669
90016171,"Electricalsara Stores",Poland,1627,1556,-71,-4.5630,903,58.0334,41.9666
90023023,Amazon,Canada,9140,9504,364,3.8300,5530,58.1860,41.8140
90013116,"Unity Stores",Italy,3899,3395,-504,-14.8454,1980,58.3211,41.6789
90002007,Girias,India,81792,133108,51316,38.5522,77798,58.4473,41.5527
90011189,UniEuro,France,15149,12914,-2235,-17.3068,7553,58.4869,41.5131
90023022,"Nomad Stores",Canada,5427,5943,516,8.6825,3484,58.6236,41.3764
90013119,"Argos (Sainsbury's)",Italy,3580,3310,-270,-8.1571,1944,58.7311,41.2689
90002011,"Atliq Exclusive",India,79201,133721,54520,40.7715,78878,58.9870,41.0130
80006155,Novus,Philiphines,44179,44477,298,0.6700,26274,59.0732,40.9268
90011187,"Chip 7",France,14620,13697,-923,-6.7387,8101,59.1443,40.8557
90013121,Boulanger,Italy,3494,3228,-266,-8.2404,1910,59.1698,40.8302
70013125,"Atliq Exclusive",Italy,3515,3078,-437,-14.1975,1827,59.3567,40.6433
90016173,Expert,Poland,1465,1414,-51,-3.6068,841,59.4767,40.5233
90023024,Sage,Canada,5897,6113,216,3.5335,3672,60.0687,39.9313
90016175,"Argos (Sainsbury's)",Poland,1501,1467,-34,-2.3177,882,60.1227,39.8773
90011190,"Media Markt",France,14828,12678,-2150,-16.9585,7660,60.4196,39.5804
90016174,"Currys (Dixons Carphone)",Poland,1544,1457,-87,-5.9712,881,60.4667,39.5333
90013118,Fnac-Darty,Italy,3564,3078,-486,-15.7895,1862,60.4938,39.5062
70011193,"Atliq Exclusive",France,13962,12557,-1405,-11.1890,7613,60.6275,39.3725
70016177,"Atliq Exclusive",Poland,1499,1487,-12,-0.8070,916,61.6005,38.3995
90006153,Insight,Philiphines,10964,10043,-921,-9.1706,6221,61.9436,38.0564
70003182,"Atliq e Store",Indonesia,24610,21872,-2738,-12.5183,13596,62.1617,37.8383
90011186,Elite,France,13534,12471,-1063,-8.5238,7753,62.1682,37.8318
70013126,"Atliq e Store",Italy,3566,3204,-362,-11.2984,2030,63.3583,36.6417
90003179,"Acclaimed Stores",Indonesia,23027,21719,-1308,-6.0224,14476,66.6513,33.3487
90011192,"Amazon ",France,15602,13392,-2210,-16.5024,9186,68.5932,31.4068
70003181,"Atliq Exclusive",Indonesia,23507,20449,-3058,-14.9543,14214,69.5095,30.4905
90022080,Staples,USA,42106,29601,-12505,-42.2452,21511,72.6698,27.3302
70007199,"Atliq e Store","South Korea",53264,37569,-15695,-41.7765,27479,73.1428,26.8572
80007196,Leader,"South Korea",207277,152104,-55173,-36.2732,111557,73.3426,26.6574
90022073,Control,USA,39475,27984,-11491,-41.0628,20599,73.6099,26.3901
80007195,Sage,"South Korea",201232,147396,-53836,-36.5247,109198,74.0848,25.9152
90022075,BestBuy,USA,39329,28320,-11009,-38.8736,21111,74.5445,25.4555
90022083,Ebay,USA,40558,28047,-12511,-44.6073,21173,75.4911,24.5089
90007197,"Amazon ","South Korea",48636,33442,-15194,-45.4339,25406,75.9703,24.0297
90022079,walmart,USA,39661,28143,-11518,-40.9267,21460,76.2534,23.7466
90022071,"Acclaimed Stores",USA,40421,27595,-12826,-46.4794,21854,79.1955,20.8045
70022085,"Atliq e Store",USA,40555,26655,-13900,-52.1478,21394,80.2626,19.7374
90022082,"Amazon ",USA,40212,26552,-13660,-51.4462,21508,81.0033,18.9967
90022081,Amazon,USA,61707,40911,-20796,-50.8323,33592,82.1099,17.8901
90022074,Flipkart,USA,53237,35590,-17647,-49.5842,29643,83.2903,16.7097
90022072,Path,USA,41789,27127,-14662,-54.0495,22896,84.4030,15.5970
70007198,"Atliq Exclusive","South Korea",50221,33268,-16953,-50.9589,28159,84.6429,15.3571
90022076,"Circuit City",USA,41301,27866,-13435,-48.2129,23751,85.2329,14.7671
90022077,"Radio Shack",USA,37967,25464,-12503,-49.1007,21853,85.8192,14.1808
70022084,"Atliq Exclusive",USA,42306,28042,-14264,-50.8666,24152,86.1280,13.8720
90022078,Costco,USA,39287,24000,-15287,-63.6958,21631,90.1292,9.8708
70004069,"Atliq Exclusive",Japan,0,0,0,NULL,0,NULL,NULL
70009133,"Atliq Exclusive",Newzealand,0,0,0,NULL,0,NULL,NULL
70010047,"Atliq Exclusive",Bangladesh,0,0,0,NULL,0,NULL,NULL
70012042,"Atliq Exclusive",Germany,0,0,0,NULL,0,NULL,NULL
70012043,"Atliq e Store",Germany,0,0,0,NULL,0,NULL,NULL
70014142,"Atliq Exclusive",Netherlands,0,0,0,NULL,0,NULL,NULL
70015151,"Atliq Exclusive",Norway,0,0,0,NULL,0,NULL,NULL
90012033,Digimarket,Germany,0,0,0,NULL,0,NULL,NULL
90012034,Otto,Germany,0,0,0,NULL,0,NULL,NULL
90012035,Notebillig,Germany,0,0,0,NULL,0,NULL,NULL
90012037,Saturn,Germany,0,0,0,NULL,0,NULL,NULL
90012038,Expert,Germany,0,0,0,NULL,0,NULL,NULL
90012039,"Currys (Dixons Carphone)",Germany,0,0,0,NULL,0,NULL,NULL
90012041,"Amazon ",Germany,0,0,0,NULL,0,NULL,NULL
